eLog: order exec at 1622522884920272620 with id 52635827087343616, side 1, price 1106.1, traded volume 1, volume left on level 6, delta_execsend 11938794496
eLog: order exec at 1622522894580899676 with id 52917302064054272, side -1, price 1106.1, traded volume 1, volume left on level 43, delta_execsend 3738717440
eLog: order exec at 1622522949871147372 with id 53198777040764928, side 1, price 1105.9, traded volume 1, volume left on level 9, delta_execsend 55290247680
eLog: order exec at 1622522979110586360 with id 53480252017475584, side -1, price 1105.8, traded volume 1, volume left on level 9, delta_execsend 1455360
eLog: order exec at 1622523252666647944 with id 53761726994186240, side 1, price 1105.4, traded volume 1, volume left on level 441, delta_execsend 1781248
eLog: order exec at 1622523867075095984 with id 54043201970896896, side -1, price 1105.4, traded volume 1, volume left on level 494, delta_execsend 863744
eLog: order exec at 1622523922750923660 with id 54324676947607552, side 1, price 1105.4, traded volume 1, volume left on level 3, delta_execsend 30775917568
eLog: order exec at 1622524640542469432 with id 54606151924318208, side -1, price 1105.4, traded volume 1, volume left on level 233, delta_execsend 74468684800
eLog: order exec at 1622524730398472640 with id 55169101877739520, side -1, price 1105.5, traded volume 1, volume left on level 712, delta_execsend 706560
eLog: order exec at 1622524933243963912 with id 54887626901028864, side 1, price 1105.6, traded volume 1, volume left on level 68, delta_execsend 420608
eLog: order exec at 1622525086148919044 with id 55732051831160832, side -1, price 1105.7, traded volume 1, volume left on level 59, delta_execsend 2241280
eLog: order exec at 1622525362400677368 with id 55450576854450176, side 1, price 1106, traded volume 1, volume left on level 126, delta_execsend 34483053312
eLog: order exec at 1622525380258497400 with id 56013526807871488, side 1, price 1105.9, traded volume 1, volume left on level 379, delta_execsend 17857819904
eLog: order exec at 1622525404538345692 with id 56295001784582144, side -1, price 1106, traded volume 1, volume left on level 88, delta_execsend 24279848448
eLog: order exec at 1622525450891782760 with id 56857951738003456, side -1, price 1105.9, traded volume 1, volume left on level 445, delta_execsend 1069312
eLog: order exec at 1622525756396848496 with id 56576476761292800, side 1, price 1105.9, traded volume 1, volume left on level 358, delta_execsend 47189839104
eLog: order exec at 1622525809416219132 with id 57139426714714112, side 1, price 1105.9, traded volume 1, volume left on level 86, delta_execsend 18730597376
